PC1,PC2,target_fraud
26958.684215358633,9696.507549706695,1
3764.1234769570037,-6656.699311646358,0
-6633.299370889503,3476.3698537918026,0
-12742.72664680946,-3461.5420444607553,0
-4146.221228896917,5442.240593640379,0
-11904.98606905934,236.90938067599427,0
27875.545513540346,10677.809396550469,1
17676.388043159535,4331.100712305519,0
14762.107242089067,14162.378814817923,0
-10966.515396041434,-2936.3485597881727,0
-6833.674079089641,1242.3828165958857,0
-525.34033891137,7117.214486066618,0
-12266.051713570558,1209.06182687396,0
9909.461056768185,-9744.31122214011,0
-9766.674143322747,-3730.018417122674,0
6732.530812638415,11348.78692218604,0
-400.34209645987175,-2349.789108860874,0
4308.870551262105,3578.4899833401723,0
5965.949060359231,-7212.933449637219,0
9676.60760777232,-1567.8163586645321,0
-13211.48652857282,-2355.4163155327624,0
-8303.357277529789,-2116.2605621258726,0
-8008.907096548662,-1315.4446593622297,0
-11487.94372616611,-3401.1095133759077,0
-12795.024636577968,-1877.7479335113705,0
10866.032898319325,5679.186689445241,0
5475.944075308136,12504.052976821795,0
-231.21560851994946,861.618302341858,0
-1698.9497351091413,19230.060739612007,1
5193.949380085167,1187.147806408375,0
-4362.2983173589855,3353.9762616573016,0
16722.696967661195,10208.469141646145,0
9526.85252974537,4976.707985206916,0
-11925.953768764313,-1227.6784723956987,0
21536.875718505697,11719.238362510221,0
-12544.463895171553,603.1584747069783,0
3924.8523501179698,-5481.23394896458,1
8481.226617099725,5335.53892122139,0
-41.818405352833,-1636.8772886261017,0
25851.326792878113,-2701.111341392276,0
-3106.0238155650786,1831.9795116797886,0
-7439.32898597446,-3692.8364173082155,0
9562.568076316544,-5199.164292560567,0
-1282.1340861496647,-5770.994950445076,0
1792.1783603890726,3170.7085508737555,0
-5316.535355220998,7943.742790196287,0
14710.789227862606,-1720.525841217782,0
-11629.64328372388,-510.67062397239397,0
9965.299852957025,4106.02090099375,0
5595.375143877554,-6078.052669825638,0
9144.187971698713,-8594.847982928512,0
-12472.398529889082,-2770.5615850563295,0
-12513.353568803965,-3578.3621684631657,0
-10183.174850779305,-2400.7606637237704,0
2787.177662630049,-1392.689453669033,0
-1144.2020744752863,-1811.3280905943998,0
-12712.63503805391,-1664.961568967507,1
3724.910814088318,-3741.551549278785,0
16826.015795545194,10099.453408529596,0
-11542.409238906652,239.81578012661885,0
2004.809406180073,-5683.77035798608,0
-9798.155280885978,-3638.11054703094,0
7802.536817526012,12733.293661605045,0
-6137.983440034257,-1190.608365384813,0
-12938.137498700937,-1884.7096330514198,0
24689.29884049965,1354.5435069294354,0
-7134.1065473357,-3545.192497642071,0
-11958.709806638133,-1752.06462670617,0
10262.20403609375,17994.258084451278,0
-13144.287259343268,-2883.55038642416,1
-13610.448872349707,-2479.770916494375,0
-10858.585881053348,214.5694345963343,0
7952.139215380754,1463.4532381467097,0
-8695.644898719245,5904.019259482067,0
13997.526695221211,10747.536942725736,0
26394.678654144882,341.7770750071045,0
2863.8854507555006,-4454.440863278592,0
-11455.514217563074,4609.024945678261,0
-13282.03304463026,-3706.6259683794515,0
-7582.171282148041,5333.875233826699,0
12275.358769811734,6849.90385131171,0
-9848.586864346546,2384.654465917246,0
-6992.665652677873,-2884.5009534406604,0
-4893.250124637032,-4257.39897428692,0
-4410.80972032643,-6382.794139508547,0
-12162.733747398908,-2840.846235504735,1
14833.31471619397,1335.2093344376817,0
-948.706614126857,3178.4605241972586,0
12605.16276641118,-6592.767291129566,0
-3453.954426786813,-3369.187186998927,0
7281.8309310320365,-9000.679863960573,0
-7724.13067763168,13017.42570553964,0
9151.802756984605,11.981991642704998,1
9468.473217044619,17859.424457629248,0
-9460.653865332324,-3391.3457000795315,0
-11321.102981617221,-4287.852451430255,1
15344.959710010513,8200.287482455644,0
-1801.9800341423943,-3354.405632259471,1
6078.446817184009,11331.83858635548,0
-12980.64569674843,-2698.0088760549397,0
13145.758285232547,-1963.0594881220013,0
-13733.813901103955,-2625.36669142752,0
3840.5185185623704,-5884.750367502611,0
20838.947976436015,-2173.447034155708,0
-2786.9839369184465,2412.858088641804,0
14813.931724415037,-2592.5811559557014,0
-1016.5180755924648,3140.4231283547933,0
-7886.003712847006,5075.6991993903575,0
21589.79760313197,-5601.515906448958,1
28499.747613283565,-4690.84293821375,0
3121.382371704298,3857.5818159334194,0
-5782.091054422719,-4698.566349890203,0
-5421.919605884819,1014.2188002156117,1
-4280.411578279707,-5174.553546650041,0
-4890.51252152141,-5528.442540047849,1
